,,,,,,,,,,,
Centros de costo Buzzword,,,,,,,,,,,
Centro de costo,Empresa,ID Empresa,Cliente,ID Cliente,Nombre actual,ID único,Centro de costo anterior,Nombre anterior,Activo,Tipo de Proyecto,Clasificación Comité
50-15-54,Buzzword,50,Inovitz,15,Proyectos - Líneas aéreas Inovitz,54,NA,NA,1,1.- Operación,1.-Operación
50-15-55,Buzzword,50,Inovitz,15,Gestión - Inovitz,55,NA,NA,1,1.1- Operación Interna,1.-Operación
50-16-56,Buzzword,50,Joyerías dinasti,16,Proyectos - Joyerías Dinasti,56,15-58-00,Plataformas TI::Joyerias Dinasti,1,1.- Operación,1.-Operación
50-17-57,Buzzword,50,Liverpool,17,Proyectos - Livercash,57,15-48-00,Plataformas TI::Livercash,1,1.- Operación,1.-Operación
50-18-58,Buzzword,50,Multiva,18,Proyectos - Multiva Nómina WEB,58,15-44-00,Prospectos calificados::MULTIVA Nómina,1,1.- Operación,1.-Operación
50-18-59,Buzzword,50,Multiva,18,Proyectos - Multiva Nómina Digital APP,59,15-57-00,Plataformas TI::MULTIVA Nómina Digital,1,4.-Innovación,2.-Investigación y Desarrollo
50-18-60,Buzzword,50,Multiva,18,Proyectos - Multiva GEA,60,NA,NA,1,4.-Innovación,2.-Investigación y Desarrollo
50-19-61,Buzzword,50,PEMEX,19,Proyectos - PEMEX,61,11-29-00,Plataformas TI::PEMEX,1,1.- Operación,1.-Operación
50-20-62,Buzzword,50,Planet media,20,Proyectos - Planet Media,62,16-03-00,Administración::Certificaciones::Planet media,1,1.- Operación,1.-Operación
50-21-63,Buzzword,50,Santander,21,Proyectos - Línea única Efectivo,63,15-09-00,Plataformas TI::Linea unica - Efectivo,1,1.- Operación,1.-Operación
50-21-64,Buzzword,50,Santander,21,Proyectos - Línea única Nómina,64,15-24-00,Plataformas TI::Linea unica - Nomina,1,1.- Operación,1.-Operación
50-21-65,Buzzword,50,Santander,21,Proyectos - Línea única Tarjetas,65,15-25-00,Plataformas TI::Linea unica - Tarjetas,1,1.- Operación,1.-Operación
50-21-66,Buzzword,50,Santander,21,Proyectos - Santander Internet,66,15-08-00,Plataformas TI::Santander Internet,1,1.- Operación,1.-Operación
50-22-67,Buzzword,50,Suburbia,22,Proyectos - Suburbia,67,14-55-00,Prospectos calificados::Suburbia,1,1.- Operación,1.-Operación
50-23-68,Buzzword,50,T Systems,23,Gestión - T Systems Agile,68,50-03-01,Plataformas TI::T-SYSTEMS AGILE,0,1.1- Operación Interna,1.-Operación
50-24-69,Buzzword,50,Zurich Santander,24,Proyectos - SEL Zurich,69,14-53-00,Prospectos calificados::SEL Zurich,1,1.- Operación,1.-Operación
50-02-70,Buzzword,50,Buzzword,02,Buzzword - Certificaciones,70,NA,NA,1,3.- Certificaciones,1.3.- Certificaciones
50-15-71,Buzzword,50,Inovitz,15,Gestión - Yavo Capital,71,NA,NA,1,1.1- Operación Interna,1.-Operación
50-02-72,Buzzword,50,Buzzword,02,Prorrateos Activos Tangibles,72,NA,NA,1,2.-Administración Operativa,1.-Operación
50-02-73,Buzzword,50,Buzzword,02,Prorrateos Licencias,73,NA,NA,1,2.-Administración Operativa,1.-Operación
50-02-74,Buzzword,50,Buzzword,02,Prorrateos Certificaciones,74,NA,NA,1,2.-Administración Operativa,1.-Operación
50-02-75,Buzzword,50,Buzzword,02,Producto - VivaNómada,75,NA,NA,1,4.1-Innovación,2.-Investigación y Desarrollo
50-02-76,Buzzword,50,Buzzword,02,Proyectos - Firma Digital,76,NA,NA,1,4.-Innovación,2.-Investigación y Desarrollo
50-02-77,Buzzword,50,Buzzword,02,Buzzword - Inversiones Buzzword,77,NA,NA,1,8.3.- Inversiones,8.3.- Inversiones
50-02-78,Buzzword,50,Buzzword,02,Producto - ART Inmobiliarias,78,NA,NA,1,4.-Innovación,2.-Investigación y Desarrollo
50-02-79,Buzzword,50,Buzzword,02,Gestión - Incidencias,79,NA,NA,1,7.- Administración,4.-Generales y Administrativos
50-25-80,Buzzword,50,Sosa Jhons,25,Proyectos - FWS Now Me,80,NA,NA,1,1.- Operación,1.-Operación
50-26-81,Buzzword,50,MIDE,26,Proyectos - FWS MIDE,81,NA,NA,1,1.- Operación,1.-Operación
50-27-82,Buzzword,50,Rapicash,27,Proyectos - ART Rapicash,82,NA,NA,1,4.-Innovación,2.-Investigación y Desarrollo
50-02-83,Buzzword,50,Buzzword,02,Gestión - Global,83,NA,NA,1,1.- Operación,1.-Operación
50-02-84,Buzzword,50,Buzzword,02,Proyectos- CSI Financial Hub,84,NA,NA,1,2.-Administración Operativa,1.-Operación
50-11-85,Buzzword,50,Buzzword,11,Proyectos - Certificación de expedientes,85,NA,NA,1,1.- Operación,1.-Operación
50-28-86,Buzzword,50,Ingersoll Rand,28,Proyectos - IR Cotizadores,86,NA,NA,1,1.- Operación,1.-Operación
50-02-87,Buzzword,50,Buzzword,02,Prorrateos Generales,87,NA,NA,1,2.-Administración Operativa,1.-Operación
50-29-88,Buzzword,50,HSBC,29,Proyectos - HSBC Tarjetas,88,NA,NA,1,4.-Innovación,2.-Investigación y Desarrollo
50-02-89,Buzzword,50,Buzzword,02,Gestión - Mesa directiva,89,NA,NA,1,7.3- Administración Mesa Directiva,5.-Activos Intangibles Estratégicos
50-02-90,Buzzword,50,Buzzword,02,Buzzword - Gestión SUA Obrero,90,NA,NA,1,1.- Operación,1.-Operación
50-02-91,Buzzword,50,Buzzword,02,Buzzword - Vigilancia,91,NA,NA,1,7.- Administración,4.-Generales y Administrativos
50-02-92,Buzzword,50,Buzzword,02,Buzzword - Administracion Empresarial,92,NA,NA,1,7.2- Administración,4.-Generales y Administrativos
50-02-93,Buzzword,50,Buzzword,02,Gestión - RRHH Capacitación,93,NA,NA,1,7.- Administración,4.-Generales y Administrativos
50-18-94,Buzzword,50,Buzzword,18,Multiva - Médicos,94,NA,NA,1,2.-Administración Operativa,1.-Operación
50-15-95,Buzzword,50,Inovitz,15,Gestión - Soporte Interno INOVITZ,95,NA,NA,1,2.-Administración Operativa,1.-Operación
50-02-96,Buzzword,50,Buzzword,02,Gestión - Generales Operaciones (Servers),96,NA,NA,1,2.-Administración Operativa,1.-Operación
50-30-97,Buzzword,50,TERGUM,30,Gestión - Nómina TERGUM,97,NA,NA,1,7.- Administración,4.-Generales y Administrativos
50-02-98,Buzzword,50,Buzzword,02,Gestión - Finiquitos Buzzword,98,NA,NA,1,2.-Administración Operativa,1.-Operación
50-02-99,Buzzword,50,Buzzword,02,Gestión - PTU,99,NA,NA,1,9.- Administración,9.- Administración
50-02-100,Buzzword,50,Buzzword,02,Gestión - Nómina FIDEICOMISO,100,NA,NA,1,2.-Administración Operativa,1.-Operación
50-02-101,Buzzword,50,Buzzword,02,Gestión - INFONAVIT y FONACOT,101,NA,NA,1,8.4.- Impuestos Generales,8.4.- Impuestos
50-31-102,Buzzword,50,FUENTES JASSO,31,Gestión - Fuentes Jasso,102,NA,NA,1,9.- Administración,9.- Estrategias Fiscales
50-01-103,Buzzword,50,Buenher,01,Gestión - Cuentas Buzzword a BUENHER,103,NA,NA,1,9.- Administración,9.- Estrategias Fiscales
50-02-104,Buzzword,50,Buzzword,02,Gestión - Cuentas Buzzword a BUZZWORD,104,NA,NA,1,9.- Administración,9.- Estrategias Fiscales
50-05-105,Buzzword,50,CSI,05,Gestión - Cuentas Buzzword a CSI,105,NA,NA,1,9.- Administración,9.- Estrategias Fiscales
50-14-106,Buzzword,50,IMATI,14,Gestión - Cuentas Buzzword a IMATI,106,NA,NA,1,9.- Administración,9.- Estrategias Fiscales
50-15-107,Buzzword,50,Inovitz,15,Gestión - Cuentas Buzzword a INOVITZ,107,NA,NA,1,9.- Administración,9.- Estrategias Fiscales
50-32-108,Buzzword,50,Digital,32,Gestión - Cuentas Buzzword a DIGITAL,108,NA,NA,1,9.- Administración,9.- Estrategias Fiscales
50-02-109,Buzzword,50,Buzzword,02,Prorrateos Seguros,109,NA,NA,1,2.-Administración Operativa,1.-Operación
50-02-110,Buzzword,50,Buzzword,02,Buzzword - Amortizaciones,110,NA,NA,1,8.1.- Amortizaciones,8.1.- Amortizaciones
50-02-111,Buzzword,50,Buzzword,02,Buzzword - Depreciaciones,111,NA,NA,1,8.2.- Depreciaciones,8.2.- Depreciaciones
